Unnamed: 0,Unnamed: 0.1,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
6,6,aide,help
7,7,demande,request
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,13,mettre,to put
13,14,laisse,leash
14,15,eux,them
15,16,ville,city
16,17,parlé,speak
17,18,arrivé,come
18,19,devrait,should
19,20,bébé,baby
20,21,longtemps,long time
21,22,heures,hours
22,23,vont,will
23,24,pendant,while
24,25,revoir,meet again
25,27,place,square
26,28,parle,speak
27,29,compris,understood
28,30,savais,knew
29,31,attention,Warning
30,32,voici,here is
31,33,pourrais,could
32,34,donner,give
33,35,type,type
34,36,leurs,their
35,37,donné,given
36,38,train,train
37,39,corps,body
38,40,endroit,place
39,41,yeux,eyes
41,43,écoute,listen
42,44,dont,whose
43,45,trouve,find
44,46,premier,first
45,47,perdu,lost
46,48,main,hand
47,49,première,first
48,50,côté,side
49,52,vieux,old
50,53,sois,be
51,55,matin,morning
52,56,tellement,so much
53,57,enfant,child
54,58,point,point
55,59,venu,came
56,60,suite,after
57,61,pardon,sorry
58,62,venez,come
59,63,devant,in front of
60,64,vers,towards
61,65,demandé,request
62,66,mis,placed
63,67,belle,beautiful
64,68,droit,law
65,69,aimerais,would like to
66,70,aujourd'hui,today
67,71,mari,husband
68,72,cause,cause
69,73,espère,hope
70,74,eau,water
71,75,attendez,Wait
72,76,parti,left
73,77,nouvelle,new
74,78,boulot,job
75,79,arrêter,Stop
76,80,dirait,would say
77,81,terre,Earth
78,82,loin,far
79,83,fin,end
80,84,croire,believe
81,85,chérie,sweetheart
82,86,gros,large
83,87,plutôt,rather
84,88,aura,will have
85,89,filles,girls
86,90,jouer,to play
87,91,bureau,office
